Stock,Quantity,Side,Status
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AAPL,259,buy,completed
AMZN,13,sell,completed
ANF,11,sell,completed
ASTS,13,sell,completed
CDE,11,sell,completed
CORZ,583,sell,completed
DYN,11,sell,completed
FTAI,11,sell,completed
FYBR,13,sell,completed
GM,11,sell,completed
LUMN,11,sell,completed
MMYT,11,sell,completed
MS,13,sell,completed
MSFT,13,sell,completed
NIO,13,sell,completed
NVDA,11,sell,completed
OSCR,13,sell,completed
SHOP,13,sell,completed
SNAP,11,sell,completed
SQ,13,sell,completed
SUN,11,sell,completed
TLN,11,sell,completed
TLRY,13,sell,completed
WING,11,sell,completed
ERJ,572,buy,completed
DOMO,272,sell,completed
QCOM,272,sell,completed
BBAR,272,sell,"failed: asset ""BBAR"" cannot be sold short"
DOMO,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
TLRY,0,sell,not completed: qty is 0
AMZN,64,buy,completed
ANF,49,sell,completed
ASTS,64,buy,completed
CDE,49,sell,completed
DOMO,64,buy,completed
DYN,49,sell,completed
ERJ,49,sell,completed
FTAI,49,sell,completed
FYBR,64,buy,completed
GM,49,sell,completed
LUMN,49,sell,completed
MMYT,49,sell,completed
MS,64,buy,completed
MSFT,64,buy,completed
NIO,64,buy,completed
NVDA,49,sell,completed
OSCR,64,buy,completed
QCOM,64,buy,completed
SHOP,64,buy,completed
SNAP,572,sell,completed
SQ,64,buy,completed
SUN,49,sell,completed
TLN,49,sell,completed
TLRY,272,buy,completed
WING,49,sell,completed
CAVA,523,buy,completed
BBAR,208,sell,"failed: asset ""BBAR"" cannot be sold short"
PANW,208,sell,completed
PANW,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,64,sell,completed
ANF,1,sell,completed
ASTS,64,sell,completed
CAVA,1,sell,completed
CDE,1,sell,completed
DOMO,64,sell,completed
DYN,1,sell,completed
ERJ,1,sell,completed
FTAI,1,sell,completed
FYBR,64,sell,completed
GM,1,sell,completed
LUMN,1,sell,completed
MMYT,1,sell,completed
MS,64,sell,completed
MSFT,64,sell,completed
NIO,64,sell,completed
NVDA,1,sell,completed
OSCR,64,sell,completed
PANW,208,buy,completed
QCOM,64,sell,completed
SHOP,64,sell,completed
SQ,64,sell,completed
SUN,1,sell,completed
TLN,1,sell,completed
WING,1,sell,completed
TLRY,272,sell,completed
BBAR,272,sell,"failed: asset ""BBAR"" cannot be sold short"
TLRY,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,65,buy,completed
ANF,59,buy,completed
ASTS,65,buy,completed
CAVA,59,buy,completed
CDE,59,buy,completed
DOMO,65,buy,completed
DYN,59,buy,completed
ERJ,59,buy,completed
FTAI,59,buy,completed
FYBR,65,buy,completed
GM,59,buy,completed
LUMN,59,buy,completed
MMYT,522,sell,completed
MS,65,buy,completed
MSFT,65,buy,completed
NIO,65,buy,completed
NVDA,59,buy,completed
OSCR,65,buy,completed
QCOM,65,buy,completed
SHOP,65,buy,completed
SQ,65,buy,completed
SUN,522,sell,completed
TLN,59,buy,completed
TLRY,272,buy,completed
WING,59,buy,completed
SNAP,581,buy,completed
CORZ,581,buy,completed
BBAR,207,sell,"failed: asset ""BBAR"" cannot be sold short"
PANW,207,sell,completed
PANW,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
BBAR,207,sell,"failed: asset ""BBAR"" cannot be sold short"
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
PANW,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,59,sell,completed
ANF,65,sell,completed
ASTS,59,sell,completed
CAVA,65,sell,completed
CDE,65,sell,completed
CORZ,65,sell,completed
DOMO,59,sell,completed
DYN,581,sell,completed
ERJ,65,sell,completed
FTAI,65,sell,completed
FYBR,59,sell,completed
GM,65,sell,completed
LUMN,65,sell,completed
MS,59,sell,completed
MSFT,59,sell,completed
NIO,59,sell,completed
NVDA,65,sell,completed
OSCR,59,sell,completed
PANW,207,buy,completed
QCOM,59,sell,completed
SHOP,59,sell,completed
SNAP,65,sell,completed
SQ,59,sell,completed
TLN,65,sell,completed
WING,65,sell,completed
PI,516,buy,completed
BBAR,266,sell,"failed: asset ""BBAR"" cannot be sold short"
MRO,266,sell,completed
MRO,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,79,buy,completed
ANF,1,buy,completed
ASTS,79,buy,completed
CAVA,1,buy,completed
CDE,1,buy,completed
CORZ,1,buy,completed
DOMO,79,buy,completed
ERJ,516,sell,completed
FTAI,1,buy,completed
FYBR,79,buy,completed
GM,1,buy,completed
LUMN,1,buy,completed
MRO,266,buy,completed
MS,79,buy,completed
MSFT,79,buy,completed
NIO,79,buy,completed
NVDA,1,buy,completed
OSCR,79,buy,completed
PI,1,buy,completed
QCOM,79,buy,completed
SHOP,79,buy,completed
SNAP,1,buy,completed
SQ,79,buy,completed
TLN,1,buy,completed
WING,1,buy,completed
DYN,517,buy,completed
GS,187,sell,completed
BAC,187,sell,completed
AMZN,8,sell,completed
ANF,1,sell,completed
ASTS,8,sell,completed
BAC,8,sell,completed
CAVA,1,sell,completed
CDE,1,sell,completed
CORZ,1,sell,completed
DOMO,8,sell,completed
DYN,1,sell,completed
FTAI,1,sell,completed
FYBR,8,sell,completed
GM,1,sell,completed
GS,8,sell,completed
LUMN,1,sell,completed
MS,8,sell,completed
MSFT,8,sell,completed
NIO,8,sell,completed
NVDA,1,sell,completed
OSCR,8,sell,completed
PI,1,sell,completed
QCOM,8,sell,completed
SHOP,187,buy,completed
SNAP,1,sell,completed
SQ,8,sell,completed
TLN,1,sell,completed
WING,1,sell,completed
TLRY,195,sell,completed
AMZN,33,buy,completed
ANF,1,buy,completed
ASTS,33,buy,completed
BAC,195,buy,completed
CAVA,1,buy,completed
CDE,1,buy,completed
CORZ,1,buy,completed
DOMO,33,buy,completed
DYN,1,buy,completed
FTAI,1,buy,completed
FYBR,33,buy,completed
GM,1,buy,completed
GS,33,buy,completed
LUMN,1,buy,completed
MS,33,buy,completed
MSFT,33,buy,completed
NIO,33,buy,completed
NVDA,1,buy,completed
OSCR,33,buy,completed
PI,1,buy,completed
QCOM,33,buy,completed
SNAP,1,buy,completed
SQ,33,buy,completed
TLN,1,buy,completed
TLRY,195,buy,completed
WING,1,buy,completed
PANW,162,sell,completed
BBAR,162,sell,"failed: asset ""BBAR"" cannot be sold short"
PANW,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,12,sell,completed
ASTS,12,sell,completed
DOMO,12,sell,completed
FYBR,12,sell,completed
GS,12,sell,completed
MS,12,sell,completed
MSFT,12,sell,completed
NIO,12,sell,completed
OSCR,12,sell,completed
PANW,162,buy,completed
QCOM,12,sell,completed
SQ,12,sell,completed
BBAR,174,sell,"failed: asset ""BBAR"" cannot be sold short"
AAPL,174,sell,completed
AAPL,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AAPL,174,buy,completed
AMZN,14,buy,completed
ASTS,14,buy,completed
DOMO,14,buy,completed
FYBR,14,buy,completed
GS,14,buy,completed
MS,14,buy,completed
MSFT,14,buy,completed
NIO,14,buy,completed
OSCR,14,buy,completed
QCOM,14,buy,completed
SQ,14,buy,completed
PANW,160,sell,completed
BAC,160,sell,completed
AMZN,3,sell,completed
ANF,37,buy,completed
ASTS,3,sell,completed
BAC,160,buy,completed
CAVA,517,sell,completed
CDE,37,buy,completed
CORZ,37,buy,completed
DOMO,3,sell,completed
DYN,37,buy,completed
FTAI,37,buy,completed
FYBR,3,sell,completed
GM,37,buy,completed
GS,3,sell,completed
LUMN,37,buy,completed
MS,3,sell,completed
MSFT,3,sell,completed
NIO,3,sell,completed
NVDA,37,buy,completed
OSCR,3,sell,completed
PANW,3,sell,completed
PI,37,buy,completed
QCOM,3,sell,completed
SNAP,37,buy,completed
SQ,3,sell,completed
TLN,37,buy,completed
WING,37,buy,completed
ERJ,554,buy,completed
TLRY,163,sell,completed
AMZN,27,sell,completed
ASTS,27,sell,completed
DOMO,27,sell,completed
FYBR,27,sell,completed
GS,27,sell,completed
MS,27,sell,completed
MSFT,27,sell,completed
NIO,27,sell,completed
OSCR,27,sell,completed
PANW,163,buy,completed
QCOM,27,sell,completed
SQ,27,sell,completed
TLRY,163,buy,completed
BBAR,190,sell,"failed: asset ""BBAR"" cannot be sold short"
SHOP,190,sell,completed
SHOP,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
BBAR,190,sell,"failed: asset ""BBAR"" cannot be sold short"
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
BBAR,190,sell,"failed: asset ""BBAR"" cannot be sold short"
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
BBAR,190,sell,"failed: asset ""BBAR"" cannot be sold short"
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,16,sell,completed
ANF,27,buy,completed
ASTS,16,sell,completed
CDE,27,buy,completed
CORZ,27,buy,completed
DOMO,16,sell,completed
DYN,27,buy,completed
ERJ,27,buy,completed
FTAI,27,buy,completed
FYBR,16,sell,completed
GM,27,buy,completed
GS,16,sell,completed
LUMN,27,buy,completed
MS,16,sell,completed
MSFT,16,sell,completed
NIO,16,sell,completed
NVDA,27,buy,completed
OSCR,16,sell,completed
PI,554,sell,completed
QCOM,190,buy,completed
SHOP,16,sell,completed
SNAP,27,buy,completed
SQ,16,sell,completed
TLN,27,buy,completed
WING,27,buy,completed
CAVA,581,buy,completed
BBAR,206,sell,"failed: asset ""BBAR"" cannot be sold short"
BAC,206,sell,completed
BAC,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
SHOP,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
AMZN,12,buy,completed
ANF,65,sell,completed
ASTS,12,buy,completed
BAC,12,buy,completed
CAVA,65,sell,completed
CDE,65,sell,completed
CORZ,65,sell,completed
DOMO,12,buy,completed
DYN,581,sell,completed
ERJ,65,sell,completed
FTAI,65,sell,completed
FYBR,12,buy,completed
GM,65,sell,completed
GS,12,buy,completed
LUMN,65,sell,completed
MS,12,buy,completed
MSFT,12,buy,completed
NIO,12,buy,completed
NVDA,65,sell,completed
OSCR,12,buy,completed
SHOP,206,buy,completed
SNAP,65,sell,completed
SQ,12,buy,completed
TLN,65,sell,completed
WING,65,sell,completed
PI,516,buy,completed
BBAR,194,sell,"failed: asset ""BBAR"" cannot be sold short"
QCOM,194,sell,completed
QCOM,0,sell,not completed: qty is 0
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
BAC,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
ANF,192,buy,completed
CAVA,192,buy,completed
CDE,192,buy,completed
CORZ,192,buy,completed
ERJ,192,buy,completed
FTAI,192,buy,completed
GM,192,buy,completed
LUMN,192,buy,completed
NVDA,192,buy,completed
PI,192,buy,completed
SNAP,192,buy,completed
TLN,192,buy,completed
WING,516,sell,completed
DYN,708,buy,completed
BBAR,194,sell,"failed: asset ""BBAR"" cannot be sold short"
AMZN,0,sell,not completed: qty is 0
ASTS,0,sell,not completed: qty is 0
BAC,0,sell,not completed: qty is 0
DOMO,0,sell,not completed: qty is 0
FYBR,0,sell,not completed: qty is 0
GS,0,sell,not completed: qty is 0
MS,0,sell,not completed: qty is 0
MSFT,0,sell,not completed: qty is 0
NIO,0,sell,not completed: qty is 0
OSCR,0,sell,not completed: qty is 0
QCOM,0,sell,not completed: qty is 0
SQ,0,sell,not completed: qty is 0
ANF,192,sell,completed
CAVA,192,sell,completed
CDE,192,sell,completed
CORZ,192,sell,completed
DYN,192,sell,completed
ERJ,708,sell,completed
FTAI,192,sell,completed
GM,192,sell,completed
LUMN,192,sell,completed
NVDA,192,sell,completed
PI,192,sell,completed
SNAP,192,sell,completed
TLN,192,sell,completed
WING,516,buy,completed
AMRX,194,sell,completed
AMRX,194,buy,completed
AMZN,1,sell,completed
ASTS,1,sell,completed
BAC,1,sell,completed
DOMO,1,sell,completed
FYBR,1,sell,completed
GS,1,sell,completed
MS,1,sell,completed
MSFT,1,sell,completed
NIO,1,sell,completed
OSCR,1,sell,completed
QCOM,1,sell,completed
SQ,1,sell,completed
TLRY,195,sell,completed
AMZN,1,buy,completed
ANF,1,sell,completed
ASTS,1,buy,completed
BAC,1,buy,completed
CAVA,1,sell,completed
CDE,1,sell,completed
CORZ,1,sell,completed
DOMO,1,buy,completed
DYN,1,sell,completed
FTAI,1,sell,completed
FYBR,1,buy,completed
GM,1,sell,completed
GS,1,buy,completed
LUMN,1,sell,completed
MS,1,buy,completed
MSFT,1,buy,completed
NIO,1,buy,completed
NVDA,1,sell,completed
OSCR,1,buy,completed
PI,1,sell,completed
QCOM,1,buy,completed
SNAP,1,sell,completed
SQ,1,buy,completed
TLN,1,sell,completed
TLRY,195,buy,completed
WING,1,sell,completed
AMRX,194,sell,completed
AMRX,2,buy,completed
AMZN,2,buy,completed
ASTS,2,buy,completed
BAC,2,buy,completed
DOMO,2,buy,completed
FYBR,2,buy,completed
GS,2,buy,completed
MS,2,buy,completed
MSFT,2,buy,completed
NIO,2,buy,completed
OSCR,2,buy,completed
QCOM,194,buy,completed
SQ,2,buy,completed
TM,192,sell,completed
AMRX,25,sell,completed
AMZN,25,sell,completed
ASTS,25,sell,completed
BAC,25,sell,completed
DOMO,25,sell,completed
FYBR,25,sell,completed
GS,25,sell,completed
MS,25,sell,completed
MSFT,25,sell,completed
NIO,25,sell,completed
OSCR,25,sell,completed
SQ,25,sell,completed
TM,192,buy,completed
TLRY,217,sell,completed
AMRX,23,buy,completed
AMZN,23,buy,completed
ASTS,23,buy,completed
BAC,23,buy,completed
DOMO,23,buy,completed
FYBR,23,buy,completed
GS,23,buy,completed
MS,23,buy,completed
MSFT,23,buy,completed
NIO,23,buy,completed
OSCR,23,buy,completed
SQ,23,buy,completed
TLRY,217,buy,completed
QCOM,194,sell,completed
ANF,6,sell,completed
CAVA,6,sell,completed
CDE,6,sell,completed
CORZ,515,sell,completed
DYN,6,sell,completed
FTAI,6,sell,completed
GM,6,sell,completed
LUMN,6,sell,completed
NVDA,6,sell,completed
PI,6,sell,completed
SNAP,6,sell,completed
TLN,6,sell,completed
WING,6,sell,completed
ZETA,509,buy,completed
AMRX,5,sell,completed
AMZN,5,sell,completed
ASTS,5,sell,completed
BAC,194,buy,completed
DOMO,5,sell,completed
FYBR,5,sell,completed
GS,5,sell,completed
MS,5,sell,completed
MSFT,5,sell,completed
NIO,5,sell,completed
OSCR,5,sell,completed
QCOM,5,sell,completed
SQ,5,sell,completed
TLRY,199,sell,completed
AMRX,26,buy,completed
AMZN,26,buy,completed
ASTS,26,buy,completed
DOMO,26,buy,completed
FYBR,26,buy,completed
GS,26,buy,completed
MS,26,buy,completed
MSFT,26,buy,completed
NIO,26,buy,completed
OSCR,26,buy,completed
QCOM,26,buy,completed
SQ,26,buy,completed
TLRY,199,buy,completed
AAPL,173,sell,completed
AAPL,173,buy,completed
AMRX,21,sell,completed
AMZN,21,sell,completed
ASTS,21,sell,completed
DOMO,21,sell,completed
FYBR,21,sell,completed
GS,21,sell,completed
MS,21,sell,completed
MSFT,21,sell,completed
NIO,21,sell,completed
OSCR,21,sell,completed
QCOM,21,sell,completed
SQ,21,sell,completed
BAC,194,sell,completed
AMRX,21,buy,completed
AMZN,21,buy,completed
ASTS,21,buy,completed
BAC,194,buy,completed
DOMO,21,buy,completed
FYBR,21,buy,completed
GS,21,buy,completed
MS,21,buy,completed
MSFT,21,buy,completed
NIO,21,buy,completed
